"st_case","file_year","state","county","city","latitude","longitud","year","month","day","hour","minute","day_week","drunk_dr","fatals","func_sys","hit_run","land_use","lgt_cond","pave_typ","peds","persons","rail","rel_junc","rel_road","road_fnc","route","rur_urb","sch_bus","sp_limit","vehicles","weather","wrk_zone","typ_int","per_no","seat_pos","per_typ","race","age","sex","death_yr","death_mo","death_da","death_hr","death_mn","death_tm","doa","inj_sev","drinking","drugs","drugtest","location","man_rest","veh_no","n_mot_no","str_veh","make","mak_mod","mod_year","model","vin","ocupants","owner","deaths","vinmake","vinmodyr","vintype","body_typ","speedrel","bus_use","impacts","tire_sze","trav_sp","veh_man","vpavetyp","calc_acc_dt","calc_acc_tm","calc_death_dt","calc_death_tm","calc_int_flag","calc_speed_bucket","calc_fatal","reg_nm","st_abbr","st_nm","cnty_nm","cty_nm","day_week_desc","lgt_cond_desc","rel_junc_desc","road_fnc_desc","weather_desc","per_typ_desc","sex_desc","make_nm","model_name","body_typ_nm"
"       62042","        2016","           6","          39","           0"," 37.42394722"," -119.637275","        2016","           9","          24","          17","          30","           7","           0","           1","           3","           .","           .","           1","           .","           0","          17","0000000","           1","           4","           .","           3","           1","           0","           .","           .","           1","           0","           1","           8","          51","           2","           0","          13","           2","        8888","          88","          88","          88","          88","        8888","           0","           2","           8","           8","           .","           0","           .","           1","           .","           0","          82","       82981","        2013","         981","1FVACWDU6DHF","           .","           3","           1","","           .","","          58","           4","           5","           .","","          43","           .","           2","24SEP2016","17:30:00","        .","       .","0","           0","0","West","CA","CALIFORNIA","MADERA","","Saturday","Daylight","Non-Junction (Non-Interchange)","","Clear/Cloudy (No Adverse Conditions)","Passenger of a Motor Vehicle in Transport","Female","Freightliner","Bus**: Conventional (Engine out front)","Other Bus Type"
"       62042","        2016","           6","          39","           0"," 37.42394722"," -119.637275","        2016","           9","          24","          17","          30","           7","           0","           1","           3","           .","           .","           1","           .","           0","          17","0000000","           1","           4","           .","           3","           1","           0","           .","           .","           1","           0","           1","           7","          51","           2","           0","          13","           1","        8888","          88","          88","          88","          88","        8888","           0","           2","           8","           8","           .","           0","           .","           1","           .","           0","          82","       82981","        2013","         981","1FVACWDU6DHF","           .","           3","           1","","           .","","          58","           4","           5","           .","","          43","           .","           2","24SEP2016","17:30:00","        .","       .","0","           0","0","West","CA","CALIFORNIA","MADERA","","Saturday","Daylight","Non-Junction (Non-Interchange)","","Clear/Cloudy (No Adverse Conditions)","Passenger of a Motor Vehicle in Transport","Male","Freightliner","Bus**: Conventional (Engine out front)","Other Bus Type"
"       62042","        2016","           6","          39","           0"," 37.42394722"," -119.637275","        2016","           9","          24","          17","          30","           7","           0","           1","           3","           .","           .","           1","           .","           0","          17","0000000","           1","           4","           .","           3","           1","           0","           .","           .","           1","           0","           1","           6","          51","           2","           0","          13","           1","        8888","          88","          88","          88","          88","        8888","           0","           2","           8","           8","           .","           0","           .","           1","           .","           0","          82","       82981","        2013","         981","1FVACWDU6DHF","           .","           3","           1","","           .","","          58","           4","           5","           .","","          43","           .","           2","24SEP2016","17:30:00","        .","       .","0","           0","0","West","CA","CALIFORNIA","MADERA","","Saturday","Daylight","Non-Junction (Non-Interchange)","","Clear/Cloudy (No Adverse Conditions)","Passenger of a Motor Vehicle in Transport","Male","Freightliner","Bus**: Conventional (Engine out front)","Other Bus Type"
"       62042","        2016","           6","          39","           0"," 37.42394722"," -119.637275","        2016","           9","          24","          17","          30","           7","           0","           1","           3","           .","           .","           1","           .","           0","          17","0000000","           1","           4","           .","           3","           1","           0","           .","           .","           1","           0","           1","           5","          51","           2","           0","          13","           2","        8888","          88","          88","          88","          88","        8888","           0","           2","           8","           9","           .","           0","           .","           1","           .","           0","          82","       82981","        2013","         981","1FVACWDU6DHF","           .","           3","           1","","           .","","          58","           4","           5","           .","","          43","           .","           2","24SEP2016","17:30:00","        .","       .","0","           0","0","West","CA","CALIFORNIA","MADERA","","Saturday","Daylight","Non-Junction (Non-Interchange)","","Clear/Cloudy (No Adverse Conditions)","Passenger of a Motor Vehicle in Transport","Female","Freightliner","Bus**: Conventional (Engine out front)","Other Bus Type"
"       62042","        2016","           6","          39","           0"," 37.42394722"," -119.637275","        2016","           9","          24","          17","          30","           7","           0","           1","           3","           .","           .","           1","           .","           0","          17","0000000","           1","           4","           .","           3","           1","           0","           .","           .","           1","           0","           1","           4","          51","           2","           0","          45","           1","        8888","          88","          88","          88","          88","        8888","           0","           3","           8","           0","           .","           0","           .","           1","           .","           0","          82","       82981","        2013","         981","1FVACWDU6DHF","           .","           3","           1","","           .","","          58","           4","           5","           .","","          43","           .","           2","24SEP2016","17:30:00","        .","       .","0","           0","0","West","CA","CALIFORNIA","MADERA","","Saturday","Daylight","Non-Junction (Non-Interchange)","","Clear/Cloudy (No Adverse Conditions)","Passenger of a Motor Vehicle in Transport","Male","Freightliner","Bus**: Conventional (Engine out front)","Other Bus Type"
"       62042","        2016","           6","          39","           0"," 37.42394722"," -119.637275","        2016","           9","          24","          17","          30","           7","           0","           1","           3","           .","           .","           1","           .","           0","          17","0000000","           1","           4","           .","           3","           1","           0","           .","           .","           1","           0","           1","           3","          51","           2","           0","          13","           2","        8888","          88","          88","          88","          88","        8888","           0","           3","           8","           9","           .","           0","           .","           1","           .","           0","          82","       82981","        2013","         981","1FVACWDU6DHF","           .","           3","           1","","           .","","          58","           4","           5","           .","","          43","           .","           2","24SEP2016","17:30:00","        .","       .","0","           0","0","West","CA","CALIFORNIA","MADERA","","Saturday","Daylight","Non-Junction (Non-Interchange)","","Clear/Cloudy (No Adverse Conditions)","Passenger of a Motor Vehicle in Transport","Female","Freightliner","Bus**: Conventional (Engine out front)","Other Bus Type"
"       62042","        2016","           6","          39","           0"," 37.42394722"," -119.637275","        2016","           9","          24","          17","          30","           7","           0","           1","           3","           .","           .","           1","           .","           0","          17","0000000","           1","           4","           .","           3","           1","           0","           .","           .","           1","           0","           1","           2","          51","           2","           4","          13","           2","        2016","           9","          24","          21","          52","        2152","           0","           4","           8","           9","           .","           0","           .","           1","           .","           0","          82","       82981","        2013","         981","1FVACWDU6DHF","           .","           3","           1","","           .","","          58","           4","           5","           .","","          43","           .","           2","24SEP2016","17:30:00","24SEP2016","21:52:00","0","           0","1","West","CA","CALIFORNIA","MADERA","","Saturday","Daylight","Non-Junction (Non-Interchange)","","Clear/Cloudy (No Adverse Conditions)","Passenger of a Motor Vehicle in Transport","Female","Freightliner","Bus**: Conventional (Engine out front)","Other Bus Type"
"       62042","        2016","           6","          39","           0"," 37.42394722"," -119.637275","        2016","           9","          24","          17","          30","           7","           0","           1","           3","           .","           .","           1","           .","           0","          17","0000000","           1","           4","           .","           3","           1","           0","           .","           .","           1","           0","           1","           1","          11","           1","           0","          53","           1","        8888","          88","          88","          88","          88","        8888","           0","           1","           0","           0","           .","           0","           .","           1","           .","           0","          82","       82981","        2013","         981","1FVACWDU6DHF","           .","           3","           1","","           .","","          58","           4","           5","           .","","          43","           .","           2","24SEP2016","17:30:00","        .","       .","0","           0","0","West","CA","CALIFORNIA","MADERA","","Saturday","Daylight","Non-Junction (Non-Interchange)","","Clear/Cloudy (No Adverse Conditions)","Driver of a Motor Vehicle in Transport","Male","Freightliner","Bus**: Conventional (Engine out front)","Other Bus Type"
"       62114","        2016","           6","          73","        3260"," 32.75696111","-117.2281472","        2016","          10","          22","           6","          10","           7","           0","           1","           1","           .","           .","           2","           .","           1","           1","0000000","           1","           5","           .","           1","           2","           0","           .","           .","           1","           0","           1","           1","          11","           1","           0","          24","           1","        8888","          88","          88","          88","          88","        8888","           0","           3","           0","           0","           .","           0","           .","           1","           .","           0","          19","       19018","        2006","          18","1G6DP5770601","           .","           2","           0","","           .","","           4","           0","           0","           .","","         999","           .","           2","22OCT2016"," 6:10:00","        .","       .","0","           0","0","West","CA","CALIFORNIA","SAN DIEGO","SAN DIEGO","Saturday","Dark - Not Lighted","Non-Junction (Non-Interchange)","","Clear/Cloudy (No Adverse Conditions)","Driver of a Motor Vehicle in Transport","Male","Cadillac","CTS","4-Door Sedan/Hardtop"
"       62114","        2016","           6","          73","        3260"," 32.75696111","-117.2281472","        2016","          10","          22","           6","          10","           7","           0","           1","           1","           .","           .","           2","           .","           1","           1","0000000","           1","           5","           .","           1","           2","           0","           .","           .","           1","           0","           1","           1","           0","           5","           1","          59","           1","        2016","          10","          22","           6","          10","         610","           7","           4","           9","           9","           .","          25","           .","           0","           .","           1","          19","       19018","        2006","          18","1G6DP5770601","           .","           2","           0","","           .","","           4","           0","           0","           .","","         999","           .","           2","22OCT2016"," 6:10:00","22OCT2016"," 6:10:00","0","           0","1","West","CA","CALIFORNIA","SAN DIEGO","SAN DIEGO","Saturday","Dark - Not Lighted","Non-Junction (Non-Interchange)","","Clear/Cloudy (No Adverse Conditions)","Pedestrian","Male","Cadillac","CTS","4-Door Sedan/Hardtop"
